OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
2087,,,,,1.4396672454013208,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,En cours de validation,
2088,,,,,0.06205850255901622,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,En cours de validation,
2089,,,,,0.1525209852608104,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,En cours de validation,
2090,,,,,0.2867313868516755,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,En cours de validation,
2091,,,,,0.1634782289671354,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,En cours de validation,
2092,,,,,0.03956507837238326,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2093,,,,,1.168598749753868,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2094,,,,,0.2291464661429238,,,,En cours de validation,
2095,,,,,0.2959991889885655,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2096,,,,,0.07385587326680108,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2097,,,,,0.7982867824875873,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2098,,,,,0.09966196960790374,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2099,,,,,2.867728818214235,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Bande riveraine
2100,,,,,2.536400164805782,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2101,,,,,1.0700051829510389,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2102,,,,,1.7617541299499786,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2103,,,,,0.06887664083283311,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
2104,,,,,0.042284790226002206,,,,En cours de validation,
2105,,,,,6.2660470459083,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Bande riveraine
2106,,,,,0.22944506197904713,Ville de Montréal,Verdun,Arrondissement,Espace voirie,Bande gazonnée
2107,,,,,0.2276248867329851,Ville de Montréal,Verdun,Arrondissement,Espace voirie,Bande gazonnée
2108,Place,des,Bayeaux,,0.11695299724288971,Ville de Montréal,Anjou,Arrondissement,Parc d'arrondissement,Espace vert
2109,,,Grand parc de l'Ouest,9512-000,0.14105500370657875,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,
2110,,,,,0.18620525485712736,Ville de Montréal,Verdun,Arrondissement,Espace voirie,Bande gazonnée
2111,,,,,0.15620979740929558,,,,En cours de validation,
2112,,,,,0.06239410232213484,,,,En cours de validation,
2113,,,,,0.54272122949427,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Bande riveraine
2114,,,,,7.115135816821998,,,,En cours de validation,
2115,Parc,,Remembrance,,0.1382634695894714,Ville de Montréal,Lachine,Arrondissement,Parc d'arrondissement,Parc de voisinage
2116,,,,,0.018421009475656985,,,,En cours de validation,
2117,,,,,0.030676117728017534,,,,En cours de validation,
2118,Parc,des,Rapides,1215-000,0.049125655931861634,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2119,,,,,1.0130178031591883,,,,En cours de validation,
2120,,,,,0.019165934344678778,,,,En cours de validation,
2121,,,Stade Percival-Molson,1806-201,10.343292851287966,Institutionnel,Autre,Privé,Autre espace vert,Espace sportif
2122,Parc,,René-Lévesque,2401-000,13.255201403948197,Ville de Montréal,Lachine,Municipale,Grand parc,Parc urbain
2123,Parc,,La Fontaine,0061-000,34.29138171281425,Ville de Montréal,Le Plateau-Mont-Royal,Municipale,Grand parc,Parc urbain
2124,Parc,des,Rapides,1215-000,0.22409411938683338,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2125,Parc,des,Rapides,1215-000,0.1416364176768438,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2126,Parc,des,Rapides,1215-000,0.07497445327482831,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2127,Parc,des,Rapides,1215-000,0.13146981658131923,Ville de Montréal,LaSalle,Municipale,Grand parc,Parc urbain
2128,Parc-nature,de la,Pointe-aux-Prairies,9562-000,0.49631322111594256,Ville de Montréal,"Service des grands parcs, du Mont-Royal et des sports",Agglomération,Grand parc,Parc-nature
